  
       XFOIL         Version 6.99
  
 Calculated polar for: CH10 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.015 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   3.000   0.3122   0.10744   0.09469  -0.1443   1.0000   0.3435
   1.500   0.0007   0.10442   0.09437  -0.0866   1.0000   0.3420
   3.000   0.3122   0.10744   0.09469  -0.1443   1.0000   0.3435
   4.500   0.5222   0.11848   0.10437  -0.1664   1.0000   0.6206
   1.500   0.0007   0.10442   0.09437  -0.0866   1.0000   0.3420
   3.000   0.3122   0.10744   0.09469  -0.1443   1.0000   0.3435
   4.500   0.5222   0.11848   0.10437  -0.1664   1.0000   0.6206
   9.000   0.8200   0.16152   0.14245  -0.1838   0.9879   1.0000
  10.500   0.9190   0.17779   0.15879  -0.1929   0.9316   1.0000
  12.000   1.0007   0.19184   0.17330  -0.1995   0.8791   1.0000
  13.500   1.0773   0.20644   0.18867  -0.2064   0.8293   1.0000
  15.000   1.1471   0.22079   0.20405  -0.2136   0.7818   1.0000
