  
       XFOIL         Version 6.99
  
 Calculated polar for: CH10 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.015 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.0957   0.12025   0.11077  -0.0219   1.0000   1.0000
  -4.500  -0.0951   0.12863   0.11886  -0.0255   1.0000   1.0000
  -6.000  -0.3518   0.16244   0.15339   0.0067   1.0000   0.5395
  -7.500  -0.3513   0.17603   0.16660  -0.0039   1.0000   0.4216
  -9.000  -0.3369   0.18615   0.17628  -0.0126   1.0000   0.3534
 -10.500  -0.3215   0.19491   0.18457  -0.0199   1.0000   0.3056
 -12.000  -0.3093   0.20346   0.19266  -0.0266   1.0000   0.2678
 -13.500  -0.2987   0.21178   0.20049  -0.0330   1.0000   0.2385
 -15.000  -0.2875   0.21881   0.20701  -0.0393   1.0000   0.2134
