  
       XFOIL         Version 6.99
  
 Calculated polar for: CH10 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   1.2214   0.01160   0.00510  -0.2783   0.6693   0.0917
   1.000   1.3321   0.01134   0.00535  -0.2796   0.6561   0.3862
   3.000   1.5348   0.01167   0.00654  -0.2778   0.6310   1.0000
   4.000   1.6335   0.01233   0.00700  -0.2765   0.6142   1.0000
   5.000   1.7242   0.01314   0.00784  -0.2738   0.6011   1.0000
   6.000   1.8004   0.01393   0.00877  -0.2682   0.5850   1.0000
   7.000   1.8781   0.01516   0.01001  -0.2634   0.5660   1.0000
   8.000   1.9347   0.01676   0.01178  -0.2551   0.5482   1.0000
   9.000   1.9936   0.01888   0.01409  -0.2478   0.5268   1.0000
  10.000   2.0226   0.02239   0.01763  -0.2364   0.4926   1.0000
  11.000   2.0245   0.02844   0.02380  -0.2229   0.4504   1.0000
  12.000   2.0199   0.03610   0.03148  -0.2104   0.3994   1.0000
  13.000   1.9802   0.04831   0.04356  -0.1965   0.3360   1.0000
  14.000   1.9279   0.06275   0.05785  -0.1840   0.2665   1.0000
  15.000   1.8633   0.07950   0.07437  -0.1736   0.1917   1.0000
